table_desc_meta,table_full
0.327414274,0.33863461
0.351099342,0.32904917
0.300262104,0.306838691
0.29120502,0.284908712
0.311700374,0.308329701
0.351927459,0.371504664
0.346986592,0.352693439
0.307595491,0.325958163
0.307819813,0.318581581
0.297766805,0.297947258
0.29148221,0.278710127
0.32314235,0.311509937
0.378863037,0.386806846
0.319941014,0.322925448
0.287980199,0.329459429
0.29095301,0.319196641
0.30230087,0.311649472
0.330956876,0.329229712
0.320857793,0.311951369
0.383903831,0.393150747
0.363850534,0.367511094
0.352026761,0.373079777
0.350191534,0.342308521
0.355407268,0.359581888
0.300379932,0.313279063
0.34892258,0.375396729
0.311953068,0.34507364
0.291859537,0.310452223
0.334607124,0.326812059
0.326808231,0.339523524
0.312169403,0.342789173
0.339321256,0.362699836
0.293934107,0.305330873
0.308942199,0.31456989
0.300518751,0.32675913
0.295408325,0.301755756
0.313709468,0.323374003
0.307421716,0.326205879
0.302773964,0.316686451
0.29127985,0.299631298
0.288737271,0.316097707
0.303709624,0.307957709
0.309837416,0.34099704
0.318900208,0.328377187
0.357473867,0.372929513
0.320347331,0.338298738
0.307682931,0.321922243
0.360853381,0.366668403
0.318959448,0.330327332
0.316276259,0.331955194
0.404556941,0.413147211
0.34548986,0.347037762
0.315651149,0.318885118
0.340519225,0.342578739
0.339234479,0.336497128
0.289442861,0.290789217
0.324508833,0.348229885
0.366212116,0.369221866
0.324017674,0.323465914
0.38556228,0.40514493
0.287182741,0.310008109
0.265497625,0.30336237
0.315177768,0.305100054
0.351264713,0.302222997
0.319553941,0.280405164
0.329848714,0.309585512
0.377177603,0.362369388
0.297579771,0.263704956
0.299753376,0.2779769
0.349523723,0.321043611
0.3139084,0.323516965
0.327923328,0.344358087
0.35263914,0.330741107
0.302807357,0.308176696
0.292055095,0.293603897
0.313325077,0.312842727
0.356399894,0.371583998
0.347087771,0.356834531
0.308000872,0.326834798
0.313357949,0.320838958
0.309898973,0.310554564
0.299538344,0.301528275
0.326727569,0.312593609
0.379127383,0.387703121
0.321284114,0.327291548
0.310187876,0.332710028
0.291110605,0.320638955
0.304271132,0.323926508
0.331950516,0.329752266
0.340141714,0.318091571
0.387278676,0.393753558
0.367662668,0.370180339
0.353178263,0.373113543
0.355126619,0.342486918
0.357117504,0.36094144
0.300490469,0.318104506
0.352805853,0.37983048
0.313768268,0.347727448
0.303212345,0.313120633
0.337261111,0.339749247
0.329465568,0.341574192
0.321962595,0.346639752
0.347412229,0.362940192
0.295341104,0.321308136
0.313256667,0.318617702
0.305413842,0.330017805
0.312357843,0.306118429
0.319547716,0.325530589
0.309804618,0.327549756
0.30936463,0.317839324
0.292261906,0.301977873
0.307688647,0.320226669
0.308597069,0.308936149
0.33050789,0.356299341
0.33682841,0.330584407
0.360505268,0.374536127
0.323640392,0.34468019
0.314405233,0.325814158
0.36172682,0.368413925
0.324695139,0.330753028
0.320623039,0.334647268
0.425386071,0.413543016
0.345882028,0.349956483
0.316516548,0.321182698
0.346584425,0.343243241
0.352391422,0.336774826
0.291017121,0.295664281
0.327253109,0.34860754
0.369668286,0.369698346
0.341234304,0.347834468
0.385886113,0.407035738
0.291994443,0.315977693
0.26725921,0.307203978
0.315591455,0.310450613
0.353275471,0.304017901
0.321455866,0.283260614
0.333402991,0.31189248
0.380450606,0.362838089
0.297989048,0.267721593
0.303752995,0.284742713
0.351074994,0.323086441
0.316808297,0.323694229
0.329558015,0.344643235
0.356555641,0.340209246
